Stock_Symbol,Sector,Date,Open_Price,Close_Price,High_Price,Low_Price,Volume,Sentiment_Score,Sentiment_Label,Institutional_Buy_pct,Retail_Buy_pct,Foreign_Buy_pct,Volatility_pct,Daily_Return_pct
TCS,IT,2023-03-05,1199.09,1185.44,1199.28,1182.16,715813,-0.727,Negative,26.34,19.01,40.24,1.428,-1.138
TCS,IT,2023-03-06,1232.77,1226.94,1243.31,1212.62,1467315,-0.32,Negative,16.27,16.1,63.95,2.49,-0.473
TCS,IT,2023-03-07,1200.15,1193.5,1200.7,1192.2,841143,0.063,Neutral,1.22,13.66,34.73,0.708,-0.554
TCS,IT,2023-03-08,1210.23,1223.21,1226.67,1197.6,1027154,-0.848,Negative,69.95,29.74,25.16,2.402,1.073
TCS,IT,2023-03-09,1225.04,1243.19,1248.28,1222.05,1639672,0.119,Neutral,16.51,52.03,24.67,2.141,1.482
TCS,IT,2023-03-10,1197.5,1190.24,1197.51,1176.67,1924250,0.575,Positive,6.43,28.55,7.38,1.74,-0.606
TCS,IT,2023-03-11,1209.13,1193.97,1217.92,1186.95,20830,-0.965,Negative,12.39,20.37,13.57,2.561,-1.254
TCS,IT,2023-03-12,1220.87,1226.97,1237.59,1218.87,504554,0.373,Positive,31.52,47.83,53.15,1.533,0.5
TCS,IT,2023-03-13,1236.73,1231.85,1241.89,1230.62,1234025,0.511,Positive,43.09,19.14,7.74,0.911,-0.395
TCS,IT,2023-03-14,1227.42,1240.81,1253.58,1222.44,1489815,0.539,Positive,64.49,1.62,67.66,2.537,1.091
TCS,IT,2023-03-15,1227.07,1217.29,1233.66,1205.49,1106572,0.358,Positive,39.68,30.3,31.44,2.296,-0.797
TCS,IT,2023-03-16,1201.62,1224.54,1226.52,1198.44,763413,-0.932,Negative,25.8,22.6,24.94,2.337,1.907
TCS,IT,2023-03-17,1238.65,1239.92,1251.62,1237.16,1733709,-0.598,Negative,14.27,40.79,38.71,1.167,0.103
TCS,IT,2023-03-18,1216.5,1233.31,1235.36,1216.48,1184683,0.603,Positive,44.12,25.45,61.08,1.552,1.382
TCS,IT,2023-03-19,1220.01,1231.85,1234.75,1215.1,1367977,0.454,Positive,38.41,11.98,23.95,1.611,0.97
TCS,IT,2023-03-20,1238.94,1231.97,1249.34,1230.17,360665,0.957,Positive,15.52,44.14,63.79,1.547,-0.563
TCS,IT,2023-03-21,1238.13,1240.77,1248.07,1237.95,1615801,-0.681,Negative,68.76,47.94,30.37,0.817,0.213
TCS,IT,2023-03-22,1182.71,1205.58,1206.13,1172.92,358619,0.086,Neutral,15.88,64.87,41.2,2.808,1.934
TCS,IT,2023-03-23,1226.0,1210.57,1240.91,1198.38,526069,0.543,Positive,14.33,24.68,32.52,3.469,-1.259
TCS,IT,2023-03-24,1208.21,1206.17,1214.78,1191.34,1900327,0.901,Positive,59.65,63.96,59.26,1.94,-0.169
TCS,IT,2023-03-25,1201.14,1196.38,1207.54,1192.16,1032198,0.315,Positive,22.54,51.12,13.07,1.28,-0.396
TCS,IT,2023-03-26,1188.4,1190.08,1200.33,1186.47,1274901,-0.183,Neutral,0.84,44.61,69.75,1.166,0.141
TCS,IT,2023-03-27,1190.4,1191.14,1196.65,1187.88,1086145,0.697,Positive,16.33,38.37,27.61,0.737,0.062
TCS,IT,2023-03-28,1201.27,1223.31,1235.51,1198.98,1424522,0.354,Positive,33.44,3.22,63.57,3.041,1.835
TCS,IT,2023-03-29,1208.64,1198.99,1211.86,1194.03,1022066,0.279,Positive,37.34,27.57,69.55,1.475,-0.798
TCS,IT,2023-03-30,1188.21,1191.79,1193.89,1185.18,729333,-0.405,Negative,69.82,14.25,28.46,0.733,0.301
TCS,IT,2023-03-31,1225.03,1247.45,1255.37,1224.13,532806,0.283,Positive,29.85,4.42,32.88,2.55,1.83
TCS,IT,2023-04-01,1224.85,1211.8,1238.31,1209.27,32530,0.714,Positive,46.0,13.57,64.24,2.371,-1.065
TCS,IT,2023-04-02,1230.17,1241.03,1246.31,1216.46,1514500,0.865,Positive,57.34,48.28,55.61,2.426,0.883
TCS,IT,2023-04-03,1238.28,1241.75,1242.63,1232.43,1495558,-0.493,Negative,60.31,67.56,3.36,0.824,0.28
TCS,IT,2023-04-04,1235.19,1255.1,1263.93,1233.55,1968808,-0.961,Negative,29.73,67.2,61.74,2.46,1.612
TCS,IT,2023-04-05,1229.32,1232.93,1242.09,1217.85,1549834,0.542,Positive,31.84,42.03,68.34,1.972,0.294
TCS,IT,2023-04-06,1192.16,1190.14,1204.55,1176.53,766923,-0.541,Negative,38.49,12.07,57.45,2.35,-0.169
TCS,IT,2023-04-07,1238.0,1249.96,1256.43,1229.48,1696147,0.462,Positive,64.2,46.59,15.88,2.177,0.966
TCS,IT,2023-04-08,1208.1,1197.86,1211.79,1193.83,1038323,-0.338,Negative,44.25,34.84,33.88,1.487,-0.848
TCS,IT,2023-04-09,1217.78,1231.42,1236.54,1215.72,1031621,-0.098,Neutral,39.2,27.17,66.51,1.71,1.12
TCS,IT,2023-04-10,1207.58,1203.89,1214.07,1196.2,807880,0.923,Positive,51.2,19.93,29.57,1.48,-0.306
TCS,IT,2023-04-11,1225.07,1229.02,1231.28,1222.85,590849,-0.207,Negative,19.48,13.63,59.79,0.688,0.322
TCS,IT,2023-04-12,1207.65,1196.27,1209.65,1186.0,138340,0.666,Positive,27.98,2.92,33.62,1.958,-0.942
TCS,IT,2023-04-13,1221.76,1217.3,1223.35,1203.33,1443948,-0.375,Negative,61.87,2.75,2.77,1.639,-0.365
TCS,IT,2023-04-14,1181.72,1185.7,1187.72,1174.49,1805879,0.48,Positive,29.28,43.03,25.52,1.12,0.337
TCS,IT,2023-04-15,1193.18,1201.27,1214.62,1185.48,1655492,-0.136,Neutral,20.74,61.3,18.32,2.442,0.678
TCS,IT,2023-04-16,1215.57,1198.47,1218.75,1195.56,21885,-0.39,Negative,10.54,0.6,14.96,1.908,-1.407
TCS,IT,2023-04-17,1196.13,1194.69,1198.72,1180.47,1279110,0.58,Positive,14.15,1.32,3.62,1.526,-0.12
TCS,IT,2023-04-18,1233.07,1255.66,1263.23,1227.54,150947,0.439,Positive,28.8,7.82,20.1,2.894,1.832
TCS,IT,2023-04-19,1209.07,1226.13,1240.03,1200.95,1605786,0.142,Neutral,27.31,48.58,28.29,3.232,1.411
TCS,IT,2023-04-20,1216.87,1206.37,1225.0,1194.41,1681290,-0.36,Negative,24.26,15.14,50.32,2.514,-0.863
TCS,IT,2023-04-21,1225.51,1222.85,1239.64,1212.07,337074,-0.674,Negative,15.86,39.16,61.79,2.25,-0.217
TCS,IT,2023-04-22,1190.74,1206.42,1211.98,1181.66,945452,0.416,Positive,52.43,52.63,58.7,2.546,1.317
TCS,IT,2023-04-23,1232.82,1231.83,1243.72,1226.54,1162835,0.378,Positive,37.47,3.72,59.02,1.394,-0.08
TCS,IT,2023-04-24,1193.81,1212.32,1222.21,1179.43,1263161,0.352,Positive,11.33,37.2,17.61,3.583,1.55
TCS,IT,2023-04-25,1233.15,1233.13,1244.05,1219.45,1864828,0.396,Positive,9.73,55.36,3.53,1.995,-0.002
TCS,IT,2023-04-26,1229.39,1247.6,1257.94,1216.25,255032,0.81,Positive,52.92,56.75,63.28,3.391,1.481
TCS,IT,2023-04-27,1229.8,1211.83,1237.12,1204.4,294798,-0.188,Neutral,20.08,63.4,63.28,2.661,-1.461
TCS,IT,2023-04-28,1198.25,1188.16,1203.26,1180.52,1357762,-0.816,Negative,22.17,67.78,68.49,1.898,-0.842
TCS,IT,2023-04-29,1181.83,1163.31,1195.61,1162.6,1836403,0.806,Positive,17.79,65.67,57.85,2.793,-1.567
TCS,IT,2023-04-30,1230.31,1250.86,1260.77,1229.37,717466,0.274,Positive,60.33,2.15,14.64,2.552,1.67
TCS,IT,2023-05-01,1193.95,1205.35,1213.29,1189.57,868600,0.75,Positive,27.48,57.75,8.99,1.987,0.955
TCS,IT,2023-05-02,1218.88,1228.62,1230.86,1207.99,1891805,-0.54,Negative,58.21,58.18,40.27,1.876,0.799
TCS,IT,2023-05-03,1203.11,1197.67,1206.79,1182.83,1638446,-0.921,Negative,27.58,42.64,19.18,1.992,-0.452
TCS,IT,2023-05-04,1203.43,1190.5,1215.92,1183.4,1926226,-0.184,Neutral,69.32,40.86,34.27,2.702,-1.074
TCS,IT,2023-05-05,1194.98,1188.3,1207.49,1182.66,1813272,0.042,Neutral,24.58,34.04,34.82,2.078,-0.559
TCS,IT,2023-05-06,1235.32,1258.52,1270.31,1226.9,934091,-0.938,Negative,17.73,32.22,55.98,3.514,1.878
TCS,IT,2023-05-07,1196.77,1188.94,1207.02,1180.68,115871,0.159,Neutral,27.28,48.9,17.47,2.201,-0.654
TCS,IT,2023-05-08,1218.75,1204.11,1218.88,1203.74,1657540,0.73,Positive,18.81,28.13,38.27,1.242,-1.201
TCS,IT,2023-05-09,1208.27,1218.9,1233.16,1206.2,1078674,0.947,Positive,32.86,50.28,3.29,2.231,0.88
TCS,IT,2023-05-10,1228.41,1232.41,1234.02,1218.68,1316235,0.634,Positive,40.99,49.16,54.45,1.249,0.326
TCS,IT,2023-05-11,1182.05,1167.18,1183.75,1152.93,1417091,-0.167,Neutral,54.59,18.11,3.49,2.607,-1.258
TCS,IT,2023-05-12,1218.66,1221.81,1231.11,1218.45,679460,0.127,Neutral,57.82,36.78,58.44,1.039,0.258
TCS,IT,2023-05-13,1232.9,1256.83,1269.69,1225.59,1180514,-0.729,Negative,52.18,24.37,7.18,3.577,1.941
TCS,IT,2023-05-14,1198.94,1211.53,1221.35,1188.29,1978264,0.896,Positive,31.7,5.08,4.05,2.757,1.05
TCS,IT,2023-05-15,1194.02,1202.74,1206.44,1192.97,932561,0.293,Positive,22.26,61.42,68.21,1.128,0.73
TCS,IT,2023-05-16,1237.62,1261.25,1270.88,1237.6,1092620,0.543,Positive,40.3,37.09,45.93,2.689,1.909
TCS,IT,2023-05-17,1192.02,1207.85,1212.56,1181.28,154738,0.725,Positive,46.45,32.65,35.35,2.624,1.328
TCS,IT,2023-05-18,1236.2,1223.82,1245.99,1221.27,1288014,0.676,Positive,44.75,8.73,26.87,2.0,-1.001
TCS,IT,2023-05-19,1192.6,1216.85,1222.69,1180.06,1075351,0.588,Positive,61.97,16.7,35.66,3.575,2.033
TCS,IT,2023-05-20,1224.78,1244.89,1245.62,1210.47,1763060,0.772,Positive,60.5,59.2,51.33,2.87,1.642
TCS,IT,2023-05-21,1227.62,1250.94,1252.35,1219.98,1373996,-0.584,Negative,11.55,42.68,53.21,2.637,1.9
TCS,IT,2023-05-22,1209.28,1190.33,1219.67,1190.3,1342125,-0.677,Negative,35.8,16.83,36.58,2.429,-1.567
TCS,IT,2023-05-23,1188.37,1195.07,1202.7,1185.16,1657431,-0.801,Negative,42.46,46.47,10.65,1.476,0.564
TCS,IT,2023-05-24,1224.07,1231.07,1237.87,1220.17,201190,-0.25,Negative,20.57,7.7,37.71,1.446,0.572
TCS,IT,2023-05-25,1194.71,1209.0,1216.66,1191.55,1130166,0.463,Positive,49.21,16.4,55.32,2.102,1.196
TCS,IT,2023-05-26,1240.16,1224.28,1247.53,1223.03,1172124,0.553,Positive,45.2,21.27,27.72,1.976,-1.28
TCS,IT,2023-05-27,1185.7,1193.32,1201.86,1182.45,1214050,-0.004,Neutral,36.77,33.51,28.51,1.637,0.643
TCS,IT,2023-05-28,1187.78,1181.9,1197.97,1177.74,1227144,-0.619,Negative,14.41,1.07,65.47,1.703,-0.495
TCS,IT,2023-05-29,1182.9,1172.77,1189.43,1158.57,552074,-0.469,Negative,55.01,4.39,34.94,2.609,-0.856
TCS,IT,2023-05-30,1236.3,1259.3,1262.96,1235.36,1056832,-0.07,Neutral,39.38,61.93,64.32,2.232,1.86
TCS,IT,2023-05-31,1204.63,1220.3,1229.28,1196.76,931707,0.752,Positive,15.89,51.17,52.91,2.7,1.301
TCS,IT,2023-06-01,1236.69,1220.88,1240.32,1218.22,1626295,-0.302,Negative,9.54,36.48,25.13,1.787,-1.278
TCS,IT,2023-06-02,1200.95,1221.24,1221.38,1199.91,1058962,-0.671,Negative,51.81,53.4,48.42,1.788,1.689
TCS,IT,2023-06-03,1233.83,1241.61,1248.01,1223.41,1781980,-0.481,Negative,21.88,53.42,60.8,1.994,0.631
TCS,IT,2023-06-04,1208.93,1224.14,1227.28,1204.53,558659,0.916,Positive,25.59,59.37,36.22,1.882,1.258
TCS,IT,2023-06-05,1223.95,1248.36,1250.99,1213.15,996983,-0.731,Negative,4.4,19.04,25.06,3.092,1.994
TCS,IT,2023-06-06,1227.16,1236.32,1238.08,1219.56,1401354,0.461,Positive,16.09,29.96,57.09,1.509,0.746
TCS,IT,2023-06-07,1226.52,1249.8,1263.8,1215.79,494159,-0.564,Negative,41.27,25.85,35.22,3.914,1.898
TCS,IT,2023-06-08,1199.52,1198.65,1200.99,1192.03,197954,-0.246,Negative,16.38,53.35,29.78,0.747,-0.073
TCS,IT,2023-06-09,1191.94,1211.54,1219.15,1177.91,684952,0.746,Positive,41.56,35.29,8.86,3.46,1.644
TCS,IT,2023-06-10,1201.81,1185.5,1208.94,1172.56,26901,-0.221,Negative,8.77,64.63,6.43,3.027,-1.357
TCS,IT,2023-06-11,1184.15,1174.23,1189.97,1167.06,307038,-0.963,Negative,59.55,55.45,48.32,1.935,-0.838
TCS,IT,2023-06-12,1210.8,1208.77,1221.65,1194.64,774419,-0.836,Negative,17.75,16.42,54.49,2.231,-0.168
TCS,IT,2023-06-13,1189.93,1169.32,1191.72,1155.34,650001,-0.808,Negative,48.46,9.85,48.79,3.057,-1.732
TCS,IT,2023-06-14,1237.12,1232.83,1250.31,1223.97,397124,-0.314,Negative,33.63,50.43,47.2,2.129,-0.347
TCS,IT,2023-06-15,1196.9,1191.42,1202.81,1176.67,246669,0.611,Positive,22.41,0.89,66.03,2.184,-0.458
TCS,IT,2023-06-16,1199.86,1216.94,1230.29,1187.64,1732117,0.347,Positive,59.43,46.19,51.66,3.555,1.423
TCS,IT,2023-06-17,1218.04,1195.01,1223.08,1186.98,504887,0.72,Positive,3.39,68.85,55.76,2.964,-1.891
TCS,IT,2023-06-18,1213.87,1191.34,1221.06,1183.73,139695,-0.284,Negative,2.09,0.39,51.48,3.075,-1.856
TCS,IT,2023-06-19,1207.59,1188.91,1211.5,1182.4,448752,0.957,Positive,16.05,61.24,50.02,2.41,-1.547
TCS,IT,2023-06-20,1183.51,1168.2,1192.9,1159.69,386300,0.67,Positive,47.02,65.34,30.74,2.806,-1.294
TCS,IT,2023-06-21,1218.51,1211.15,1230.43,1208.52,722011,-0.012,Neutral,22.05,16.24,22.9,1.798,-0.604
TCS,IT,2023-06-22,1212.21,1208.66,1225.9,1196.24,774520,0.962,Positive,20.61,64.71,21.96,2.447,-0.293
TCS,IT,2023-06-23,1182.16,1180.34,1196.99,1178.65,549281,-0.473,Negative,23.25,50.47,52.02,1.551,-0.154
TCS,IT,2023-06-24,1187.92,1198.04,1205.02,1173.93,1751503,0.845,Positive,53.79,3.23,56.03,2.617,0.852
TCS,IT,2023-06-25,1232.19,1212.63,1235.1,1205.95,583728,-0.506,Negative,45.95,26.51,43.89,2.366,-1.587
TCS,IT,2023-06-26,1238.88,1218.41,1241.03,1212.31,1609986,0.057,Neutral,24.29,3.49,15.74,2.318,-1.652
TCS,IT,2023-06-27,1187.17,1190.01,1198.66,1181.47,1004930,-0.715,Negative,58.66,55.64,22.27,1.448,0.239
TCS,IT,2023-06-28,1240.69,1221.56,1254.9,1211.92,89047,-0.548,Negative,51.08,18.64,56.39,3.464,-1.542
TCS,IT,2023-06-29,1186.4,1173.71,1188.94,1169.36,848279,-0.538,Negative,50.51,60.46,13.79,1.65,-1.07
TCS,IT,2023-06-30,1205.86,1182.79,1210.31,1174.97,849084,0.584,Positive,24.78,8.37,43.8,2.931,-1.913
TCS,IT,2023-07-01,1211.73,1227.37,1236.29,1209.49,801441,-0.412,Negative,26.2,5.25,2.19,2.212,1.291
TCS,IT,2023-07-02,1240.31,1217.03,1243.64,1212.74,601115,-0.917,Negative,4.2,52.72,66.5,2.491,-1.877
TCS,IT,2023-07-03,1220.29,1240.9,1253.59,1211.2,841556,0.841,Positive,64.08,58.25,52.29,3.474,1.689
TCS,IT,2023-07-04,1190.91,1192.93,1199.82,1185.26,53341,-0.226,Negative,12.31,66.96,13.76,1.223,0.17
TCS,IT,2023-07-05,1187.25,1180.59,1198.81,1166.48,604811,0.262,Positive,57.78,41.67,28.4,2.723,-0.561
TCS,IT,2023-07-06,1213.55,1189.69,1227.73,1175.77,1116897,0.148,Neutral,25.54,33.38,59.6,4.282,-1.966
TCS,IT,2023-07-07,1211.29,1196.65,1225.84,1188.28,1467055,-0.389,Negative,46.73,5.85,65.39,3.101,-1.209
TCS,IT,2023-07-08,1186.45,1172.51,1187.08,1161.86,1198560,0.789,Positive,0.63,24.7,53.61,2.126,-1.175
TCS,IT,2023-07-09,1198.53,1219.57,1224.75,1189.55,247151,0.792,Positive,52.6,51.73,50.22,2.937,1.755
TCS,IT,2023-07-10,1197.95,1201.91,1208.51,1189.12,669131,0.975,Positive,15.26,32.4,61.67,1.619,0.331
TCS,IT,2023-07-11,1212.81,1224.88,1232.04,1198.92,1656680,0.045,Neutral,57.14,24.19,35.15,2.731,0.995
TCS,IT,2023-07-12,1237.62,1261.24,1273.56,1226.95,706264,0.32,Positive,2.51,12.69,55.39,3.766,1.909
TCS,IT,2023-07-13,1224.46,1199.64,1230.33,1192.26,1946233,-0.452,Negative,64.93,49.56,27.8,3.109,-2.027
TCS,IT,2023-07-14,1196.73,1184.18,1210.76,1178.85,1584079,-0.599,Negative,50.31,47.82,24.17,2.666,-1.049
TCS,IT,2023-07-15,1232.38,1220.43,1241.8,1219.01,1935879,-0.286,Negative,49.83,2.36,69.68,1.849,-0.97
TCS,IT,2023-07-16,1224.17,1247.76,1260.87,1213.78,435824,-0.145,Neutral,64.1,67.86,39.4,3.847,1.927
TCS,IT,2023-07-17,1189.89,1199.53,1199.58,1176.79,1902343,0.782,Positive,58.03,12.97,6.42,1.915,0.81
TCS,IT,2023-07-18,1234.16,1243.79,1250.01,1228.98,43224,0.53,Positive,57.97,42.62,26.27,1.704,0.78
TCS,IT,2023-07-19,1185.71,1205.52,1213.02,1177.61,703104,-0.628,Negative,35.7,61.14,29.95,2.986,1.671
TCS,IT,2023-07-20,1230.97,1222.91,1242.57,1210.06,645257,-0.76,Negative,21.26,8.96,46.37,2.641,-0.655
TCS,IT,2023-07-21,1182.73,1163.57,1192.69,1154.64,541351,-0.541,Negative,41.81,7.62,62.6,3.217,-1.62
TCS,IT,2023-07-22,1206.71,1199.84,1211.06,1191.4,448229,0.502,Positive,13.71,49.28,4.64,1.629,-0.569
TCS,IT,2023-07-23,1238.13,1243.09,1254.89,1237.96,914288,0.228,Positive,26.65,53.02,9.41,1.367,0.401
TCS,IT,2023-07-24,1214.28,1211.49,1220.88,1211.35,1070234,0.379,Positive,57.96,49.13,46.59,0.785,-0.23
TCS,IT,2023-07-25,1194.27,1196.52,1204.95,1184.71,1725478,0.5,Positive,26.97,24.08,3.24,1.695,0.188
